HS Code,Description,Category
520633,uncombed cabled cotton yarn with 85 cotton,52
520635,uncombed cabled cotton yarn with 85 cotton,52
520642,combed cabled cotton yarn with 85 cotton np,52
520644,combed cabled cotton yarn with 85 cotton np,52
520710,cotton yarn excl sewing put up for retail s,52
520811,unbleached plain cotton weave with 85 cotto,52
520813,unbleached 3 or 4thread twill with 85 cott,52
520821,bleached plain cotton weave with 85 cotton,52
520823,bleached 3 or 4thread twill incl cross twill,52
520831,dyed plain cotton weave with 85 cotton 1,52
520833,dyed 3 or 4thread twill incl cross twill w,52
520841,coloured plain cotton weave with 85 cotton,52
520843,coloured 3 or 4thread twill incl cross twill,52
520851,printed plain cotton weave with 85 cotton,52
520853,printed 3 or 4thread twill incl cross twill,52
520911,unbleached plain cotton weave with 85 cotto,52
520919,unbleached cotton fabrics with 85 cotton,52
520922,bleached 3 or 4thread twill 85 cotton 20,52
520931,dyed plain cotton weave with 85 cotton 20,52
520939,dyed woven cotton fabrics with 85 cotton,52
520942,denim with 85 cotton 200gm2,52
520949,coloured woven cotton fabrics with 85 cotto,52
520952,printed 3 or 4thread twill with 85 cotton,52
521011,unbleached plain cotton weave with 85 cotton,52
521019,unbleached woven cotton fabrics nes with 85,52
521022,bleached 3 or 4thread twill with 85 cotton,52
521031,dyed plain cotton weave with 85 cotton 20,52
521039,dyed woven cotton fabrics nes with 85 cotto,52
521042,coloured 3 or 4thread twill with 85 cotton,52
521051,printed plain cotton weave with 85 cotton,52
521059,printed woven cotton fabrics nes with 85 co,52
521112,unbleached 3 or 4thread twill with 85 cotto,52
521121,bleached plain cotton weave with 85 cotton,52
521129,bleached woven cotton fibres nes with 85 co,52
521132,dyed 3 or 4thread twill with 85 cotton 20,52
521141,coloured plain cotton weave with 85 cotton,52
521143,coloured fabrics of 3 or 4thread twill with,52
521151,printed plain cotton weave with 85 cotton,52
521159,printed woven cotton fabrics nes with 85 co,52
521212,bleached woven fabrics of cotton 200gm2 ne,52
521214,coloured woven fabrics of cotton 200gm2 ne,52
521221,unbleached woven fabrics of cotton 200gm2 n,52
521223,dyed woven fabrics of cotton 200gm2 nes,52
530110,flax raw or retted,53
530129,flax hackled or otherwise processed but not s,53
530210,true hemp raw or retted,53
530310,jute etc excl flax true hemp and ramie ra,53
530410,sisal and other textile fibres of the genus aga,53
530511,raw coconut fibres,53
530521,raw albaca fibres,53
530591,raw ramie and other vegetable textile fibres n,53
530610,single flax yarn put up for retail sale,53
530710,single yarn of jute or of other textile bast fi,53
530810,coir yarn,53
530830,paper yarn,53
530911,bleached or unbleached woven fabrics of flax,53
530921,bleached or unbleached woven fabrics of flax,53
531010,unbleached woven fabrics of jute or of other te,53
540110,sewing thread of synthetic filaments,54
540210,high tenacity yarn of nylon or other polyamides,54
540231,textured yarn of nylon or other polyamides,54
540233,textured yarn of polyesters nprs,54
540241,single yarn of nylon or other polyamides with,54
540243,single yarn of polyesters nes with 50turns,54
540251,single yarn of nylon or other polyamides with,54
540259,single synthetic yarn nes with 50turnsm np,54
540262,multiple or cabled yarn of polyesters nprs,54
540310,high tenacity yarn of viscose rayon nprs,54
540331,single yarn of viscose rayon with 120turnsm,54
540333,single yarn of cellulose acetate nprs,54
540341,multiple or cabled yarn of viscose rayon nprs,54
540349,multiple or cabled artificial yarn nes nprs,54
540490,strip and the like of synthetic textile materia,54
540610,synthetic filament yarn excl sewing thread,54
540710,woven fabrics of high tenacity yarn of nylon,54
540730,fabrics of synthetic filament yarn specified in,54
540742,dyed woven fabrics of synthetic filament yarn,54
540744,printed woven fabrics of synthetic filament yar,54
540752,dyed woven fabrics of synthetic filament yarn,54
540754,printed woven fabrics of synthetic yarn 85,54
540771,unbleached or bleached woven fabrics 85 syn,54
540773,coloured woven fabrics 85 synthetic filamen,54
540781,unbleached or bleached woven fabrics 85 synt,54
540783,coloured woven fabrics 85 synthetic filament,54
540791,unbleached or bleached woven fabrics of synthet,54
540793,coloured woven fabrics of synthetic filament ya,54
540810,woven fabrics of high tenacity synthetic filame,54
540822,dyed woven fabrics 85 artificial filaments,54
540824,printed woven fabrics 85 artificial filamen,54
540832,dyed woven fabrics of artificial filament yarn,54
550110,synthetic filament tow of nylon or other polyam,55
550130,synthetic filament tow acrylic or modacrylic,55
550200,artificial filament tow,55
550320,synthetic staple fibres of polyesters not car,55
550340,synthetic staple fibres of polypropylene not,55
550410,artificial staple fibres of viscose rayon not,55
550510,waste of synthetic fibre incl noils yarn wa,55
550610,synthetic staple fibres of nylon or other poly,55
550630,acrylic or modacrylic synthetic staple fibres,55
550700,artificial staple fibres carded combed or pro,55
550820,sewing thread of artificial staple fibres,55
550912,multiple or cabled yarn 85 staple fibres of,55
550922,multiple or cabled yarn with 85 polyester s,55
550932,multiple or cabled yarn 85 acrylic or modac,55
550942,multiple or cabled yarn with 85 synthetic s,55
550952,yarn 85 polyester staple fibres with wool o,55
550959,yarn 85 polyester staple fibres nes nprs,55
550962,yarn 85 acrylic or modacrylic staple fibres,55
550991,yarn 85 synthetic staple fibres nes mixed,55
550999,yarn 85 synthetic staple fibres nes nprs,55
551012,multiple or cabled yarn with 85 artificial,55
551030,yarn with 85 artificial staple fibres mixed,55
551110,yarn with 85 synthetic staple fibres put u,55
551130,yarn of artificial staple fibres put up for re,55
551219,printed dyed or coloured woven fabrics 85,55
551229,printed dyed or coloured woven fabrics 85,55
551299,printed dyed coloured woven fabrics 85 sy,55
551312,3 or 4thread twill 85 polyester staple fibr,55
551319,woven fabrics 85 synthetic staple fibres  c,55
551322,dyed 3 or 4thread twill 85 polyester fibres,55
551329,dyed woven fabrics 85 synthetic fibres  cot,55
551332,coloured 3 or 4thread twill 85 polyester fi,55
551339,coloured woven fabrics 85 synthetic fibres,55
551342,printed 3 or 4thread twill 85 polyester fib,55
551349,printed woven fabrics 85 synthetic fibres,55
551412,3 or 4thread twill 85 polyester staple fibr,55
551419,woven fabrics 85 synthetic staple fibres  c,55
551422,dyed 3 or 4thread twill 85 polyester fibres,55
551429,dyed woven fabrics 85 synthetic fibres  cot,55
551432,coloured 3 or 4thread twill 85 polyester fi,55
551439,coloured woven fabrics 85 synthetic fibres,55
551442,printed 3 or 4thread twill 85 polyester fib,55
551449,printed woven fabrics 85 synthetic fibres,55
551512,woven fabrics of polyester staple fibres mixed,55
551519,woven fabrics of polyester staple fibres nes,55
551522,woven fabrics of acrylic or modacrylic fibres,55
551591,woven fabrics of synthetic staple fibres nes,55
551599,woven fabrics of synthetic staple fibres nes,55
551612,dyed woven fabrics 85 artificial staple fib,55
551614,printed woven fabrics 85 artificial staple,55
551622,dyed woven fabrics 85 artificial fibres wit,55
551624,printed woven fabrics 85 artificial fibres,55
551632,dyed woven fabrics 85 artificial fibres wit,55
551634,printed woven fabrics 85 artificial staple f,55
551642,dyed woven fabrics 85 artificial staple fibr,55
551644,printed woven fabrics 85 artificial staple f,55
551692,dyed woven fabrics artificial staple fibres n,55
560110,sanitary towels and tampons napkins etc of t,56
560122,wadding of manmade fibres and articles thereof,56
560130,textile flock and dust and mill neps,56
560221,felt of wool or fine animal hair excl impregn,56
560290,felt nes,56
560410,rubber thread and cord textile covered,56
560490,textile yarn and strip etc impregnated or coa,56
560600,gimped yarn and strip chenille yarn loop wale,56
560721,binder or baler twine of sisal etc of the gen,56
560730,twine cordage ropes and cables of abaca or o,56
560749,twine cordage ropes and cables of polyethyle,56
560790,twine cordage ropes and cables nes,56
560819,knotted netting of manmade textile materials,56
570110,carpets and other textile floor coverings of w,57
570210,kelem schumacks karamanie and other similar h,57
570231,pile floor coverings of wool woven not mad,57
570239,pile floor coveringsof other textiles woven n,57
570242,pile floor coverings of manmade textiles wove,57
570251,nonpile floor coverings of woolwoven not m,57
570259,nonpile floor coverings of other textiles wov,57
570292,nonpile floor coverings of manmade textiles,57
570310,tufted floor coverings of wool or of fine anima,57
570330,tufted floor coverings of manmade textile mate,57
570410,carpet tiles 03m2 of felt not tufted or fl,57
580110,woven pile fabrics and chenille fabrics of wool,58
580122,cut corduroy of cotton,58
580124,warp pile fabrics epingle uncut of cotton,58
580126,chenille fabrics of cotton,58
580132,cut corduroy of manmade fibres nes,58
580134,warp pile fabrics epingle uncut of manmade,58
580136,chenille fabrics of manmade fibres nes,58
580211,unbleached terry towelling and similar woven te,58
580220,terry towelling and similar woven terry fabrics,58
580310,cotton gauze excl narrow fabrics,58
580410,tulles and other net fabrics,58
580429,lace of other textiles in piece in strips or i,58
580500,handwoven tapestries of the type gobelins fla,58
580620,narrow woven fabrics with 5 elastomeric yar,58
580632,narrow woven fabrics of manmade fibres nes,58
580640,fabrics with warp without weft assembled by an,58
580790,labels badges of textiles unwoven in piec,58
580890,ornamental trimmings in the piece tassels pom,58
581010,embroidery without visible ground,58
581092,embroidery of manmade fibres in the piece in,58
590110,textile fabrics coated with gum or amylaceous s,59
590210,tyre cord fabric of high tenacity yarn of nylon,59
590290,tyre cord fabric of high tenacity yarn of visco,59
590320,textile fabrics impregnated with polyurethan,59
590410,linoleum,59
590492,floor coverings with coating on a textile ba,59
590610,adhesive tape of a width 20cm,59
590699,rubberized textile fabrics nes,59
590800,textile wicks for lamps incandescent gas ma,59
591000,transmission or conveyor belts or belting of t,59
591120,bolting cloth,59
591132,textile fabrics and felts for papermaking mac,59
600110,long pile fabrics knitted or crocheted,60
600122,looped pile fabrics of manmade fibres knitted,60
600191,pile fabrics of cotton nes knitted or crochet,60
600199,pile fabrics of textile materials nes knitted,60
600220,knitted or crocheted fabrics 30cm wide non,60
600241,fabrics warp knit of wool or fine animal hair,60
600243,fabrics warp knit of manmade fibres,60
600291,weft knits and crocheted fabrics of wool,60
600293,weft knits or crocheted fabrics of manmade fib,60
610110,mens or boys coats etc of wool knitted,61
610130,mens or boys coats etc of manmade fibres,61
610210,womans or girls coats etc of wool knitt,61
610230,womans or girls coats etc of manmade fibre,61
610311,mens or boys suits of wool or fine animal hai,61
610319,mens or boys suits of other textiles nes kn,61
610322,mens or boys ensembles of cotton knitted or,61
610329,mens or boys ensembles of other textiles nes,61
610332,mens or boys jackets and blazers of cotton k,61
610339,mens or boys jackets of other textiles ne,61
610342,mens or boys trousers etc of cotton knitte,61
610349,mens or boys trousers etc of other textiles,61
610412,womens or girls suits of cotton knitted or c,61
610419,womens or girls suits of other textiles nes,61
610422,womens or girls ensembles of cotton knitted,61
610429,womens or girls ensembles of other textiles,61
610432,womens or girls jackets of cotton knitted o,61
610439,womans or girls jackets of other textiles k,61
610442,dresses of cotton knitted or crocheted,61
610444,dresses of artificial fibres knitted or croche,61
610451,skirts and divided skirts of wool or fine hair,61
610453,skirts and divided skirts of synthetic fibres,61
610461,womens or girls trousers etc of wool kn,61
610463,womens or girls trousers etc of synthetic,61
610510,mens or boys shirts of cotton knitted or cro,61
610590,mens or boys shirts of other textiles nes k,61
610620,womens or girls blouses etc of manmade fib,61
610711,mens or boys underpants and briefs of cotton,61
610719,mens or boys underpants etc of other textil,61
610722,mens or boys pyjamas of manmade fibres knit,61
610791,mens or boys dressing gowns etc of cotton,61
610799,mens or boys dressing gowns of other textile,61
610819,womens or girls slips etc of other textiles,61
610822,womens or girls briefs etc of manmade fibr,61
610831,womens or girls nighties etc of cotton,61
610839,womens or girls nighties etc of other texti,61
610892,womens or girls dressing gowns of manmade fi,61
610910,tshirts singlets and other vests of cotton,61
611010,jerseys pullovers etc of wool knitted or,61
611030,jerseys pullovers etc of manmade fibres kn,61
611110,babies garments etc of wool or fine animal h,61
611130,babies garments etc of synthetic fibres kni,61
611211,tracksuits of cotton knitted or crocheted,61
611219,tracksuits of other textiles knitted or croch,61
611231,mens or boys swimwear of synthetic fibres kn,61
611241,womens or girls swimwear of synthetic fibres,61
611300,garments made up of knitted or crocheted fabric,61
611420,garments of cotton knitted or crocheted nes,61
611490,garments of other textiles knitted or crochete,61
611512,panty hose etc of synthetic fibres 67decit,61
611520,womens hosiery of synthetic fibres 67decitex,61
611592,hosiery and footwear of cotton knitted or cro,61
611599,hosiery and footwear of other textiles knitte,61
611691,gloves mittens and mitts of wool knitted,61
611693,gloves mittens and mitts of synthetic fibres,61
611710,shawls scarves mufflers mantillas veils et,61
611780,other clothing accessories knitted or crochete,61
620111,mens or boys overcoats etc of wool or fine,62
620113,mens or boys overcoats etc of manmade fibr,62
620191,mens or boys anoraks windcheaters etc of,62
620193,mens or boys anoraks windcheaters etc of,62
620211,womans or girls overcoats etc of wool or fi,62
620213,womans or girls overcoats etc of manmade f,62
620291,womans or girls anoraks windcheaters etc,62
620293,womans or girls anoraks windcheaters etc,62
620311,mens or boys suits of wool or fine animal hai,62
620319,mens or boys suits of other textiles nes,62
620322,mens or boys ensembles of cotton,62
620329,mens or boys ensembles of other textiles nes,62
620332,mens or boys jackets and blazers of cotton,62
620339,mens or boys jackets and blazers of other tex,62
620342,mens or boys trousers breeches etc of cott,62
620349,mens or boys trousers breeches of other text,62
620412,womens or girls suits of cotton,62
620419,womens or girls suits of other textiles nes,62
620422,womens or girls ensembles of cotton,62
620429,womens or girls ensembles of other textiles,62
620432,womens or girls jackets and blazers of cotton,62
620439,womens or girls jackets and blazers of other,62
620442,dresses of cotton,62
620444,dresses of artificial fibres,62
620451,skirts and divided skirts of wool or fine anima,62
620453,skirts and divided skirts of synthetic fibres,62
620461,womens or girls trousers breeches etc of w,62
620463,womens or girls trousers breeches etc of s,62
620510,mens or boys shirts of wool or fine animal ha,62
620530,mens or boys shirts of manmade fibres,62
620610,womens or girls blouses shirts etc of silk,62
620630,womens or girls blouses shirts etc of cott,62
620690,womens or girls blouses shirts etc of othe,62
620719,mens or boys underpants and briefs of textile,62
620722,mens or boys nightshirts and pyjamas of manm,62
620791,mens or boys singlets dressing gowns etc,62
620799,mens or boys singlets dressing gowns etc,62
620819,slips and petticoats of other textiles nes,62
620822,womens or girls nightdresses and pyjamas of m,62
620891,womens or girls dressing gowns panties etc,62
620899,womens or girls dressing gowns panties etc,62
620920,bables garments and clothing accessories of co,62
620990,bables garments and clothing accessories of ot,62
621020,garments of 620111 to 19 made up of fabrics o,62
621040,mens or boys garments made up of fabrics of 5,62
621111,mens or boys swimwear,62
621120,ski suits,62
621132,mens or boys garments of cotton nes,62
621139,mens or boys garments of other textiles nes,62
621142,womens or girls garments of cotton nes,62
621149,womens or girls garments of other textiles n,62
621220,girdles and pantygirdles,62
621290,corsets braces garters suspenders and simila,62
621320,handkerchiefs of cotton,62
621410,shawls scarves mufflers mantillas veils et,62
621430,shawls scarves mufflers mantillas veils et,62
621490,shawls scarves mufflers mantillas veils et,62
621520,ties bow ties and cravats of manmade fibres,62
621600,gloves mittens and mitts,62
630110,electric blankets,63
630130,blankets excl electric blankets and travelli,63
630190,other blankets and travelling rugs nes,63
630221,printed bedlinen of cotton excl knitted or c,63
630229,printed bedlinen of other textiles excl knit,63
630232,bed linen of manmade fibres excl printed kn,63
630240,table linen knitted or crocheted,63
630252,table linen of flax excl knitted or crocheted,63
630259,table linen of other textiles nes excl knitt,63
630291,toilet linen and kitchen linen of cotton nes,63
630293,toilet linen and kitchen linen of manmade fibr,63
630311,curtains and interior blinds valances of cotto,63
630319,curtains etc valances of textile materials k,63
630392,curtains and interior blinds curtainbed valan,63
630411,knitted or crocheted bedspreads,63
630491,knitted or crocheted furnishing articles nes,63
630493,furnishing articles of synthetic fibres excl,63
630510,sacks and bags used for packing goods of jute,63
630531,sacks and bags used for packing goods of poly,63
630590,sacks and bags used for packing goods of othe,63
630612,tarpaulins awnings and sunblinds of synthetic,63
630621,tents of cotton,63
630629,tents of other textiles nes,63
630639,sails of other textiles excl synthetic fibres,63
630649,pneumatic mattresses of other textiles excl,63
630699,camping goods of other textiles excl cotton a,63
630720,lifejackets and lifebelts,63
630800,sets of woven fabric and yarn for making up in,63
631010,used or new rags worn out scrap twine cordage,63
640110,waterproof footwear incorporating a protective,64
640192,waterproof footwear covering the ankle but not,64
640211,skiboots and crosscountry ski footwear of rub,64
640220,footwear with thongs plugged into soles of rub,64
640291,footwear nes covering the ankle of rubber or,64
640311,skiboots etc with rubber plastics leather,64
640320,sandles with leather soles and straps over in,64
640340,footwear with a metal toecap leather uppers,64
640359,footwear with leather soles and uppers not cov,64
640399,footwear with rubber soles leather uppers,64
640419,other footwearwith rubber or plastic soles and,64
640510,footwear nes with leather or composition leat,64
640590,footwear nes,64
640620,outer soles and heels of rubber or plastics,64
650100,hatforms hat bodies and hoods of felt platea,65
650300,felt hats and other felt headgear made from th,65
650510,hairnets of any material,65
650610,safety headgear,65
650692,hats and other headgear of furskin,65
660110,garden or similar umbrellas,66
660199,umbrellas and sun umbrellas nes,66
660310,handles and knobs of articles of 6601 or 6602,66
670100,prepared skins of birds with feathers or down,67
670290,artificial flowers foliage etc and articles t,67
670411,complete wigs of synthetic textile materials,67
670420,wigs false beards eyebrows etc and articles,67
680100,setts curbstones and flagstones of natural sto,68
680221,monumentalbuilding stonecutsawn flatevenma,68
680223,monumentalbuilding stone cutsawn flat or eve,68
680291,worked monumentalbuilding stone nes marble t,68
680293,worked monumentalbuilding stone nes granite,68
680300,worked slate and articles of slate or of agglom,68
680421,millstonesgrindstones etc of agglomerated synt,68
680423,millstones grindstones etc of natural stone,68
680510,natural or artificial abrasive powder or grain,68
680530,natural or artificial abrasive powder or grain,68
680620,exfoliated vermiculiteexpanded claysfoamed sl,68
680710,asphalt or similar material articles in rolls,68
680800,panelsboards etc of veg fbrstraw etc agglomer,68
680919,plaster boards etc not ornamental faced or rein,68
681011,building blocks and bricks of cement concrete,68
681020,pipes of cement or concrete,68
681099,articles of cement of concrete or of artificia,68
681120,sheets nespanelstiles etc of asbestoscement,68
681190,articles nes of asbestoscement of cellulose f,68
681220,asbestos yarn and thread,68
681240,asbestos woven or knitted fabric,68
681260,asbestos paper millboard and felt,68
681290,asbestos fabricated products nes,68
681390,asbestos friction material and articles nes,68
681490,worked mica and articles of mica nes,68
681520,articles of peat,68
690100,bricks blocks etcceramic gds of siliceous fos,69
690220,refractory bricks etc 50 alumina al2o3 silic,69
690310,refractory ceramic gds nes 50 of graphite or,69
690390,refractory ceramic goods nes,69
690490,ceramic flooring blocks support or filler tile,69
690590,chimneypots cowls chimney liners etcoth cer,69
690710,tiles cubes and sim 7 cm rect or not etc ung,69
690810,tiles cubes and sim 7 cm rect or not etc gla,69
690911,ceramic wares laboratorychemicaloth technical,69
690990,ceramic troughs tubes etc used in agriculture,69
691090,ceramic sinks wash basins etc  similar sanita,69
691190,household articles nes  toilet articles of por,69
691310,statuettes and other ornamental articles of por,69
691410,articles of porcelain or china nes,69
700100,cullet and other waste and scrap of glass glas,70
700220,rods glass,70
700232,tubes of glass linear coef of exp 5 x 106 pe,70
700311,cast gls sheets nonwired coloured etc having a,70
700320,cast glass sheets wired,70
700410,drawn glass sheets coloured etc having an abso,70
700510,float gls etc in sheetsnonwired having an abs,70
700529,float glass etc in sheets nonwired nes,70
700600,glass of 7003 7004 7005 bent edgeworked,70
700719,safety glass toughened tempered nes,70
700729,safety glass laminated nes,70
700910,rearview mirrors for vehicles,70
700992,glass mirrors framed,70
701090,carboysbottlesflasks etc for conveyance of gd,70
701120,glass envelopes including bulbstubes for cat,70
701200,glass inners for vacuum flasks or for other vac,70
701321,drinking glasses other than glassceramics of,70
701331,tablekitchenware exc drinking gls ot glsce,70
701339,tablekitchenware exc drinking glasses other,70
701399,glassware nes other than that of 7010 or 701,70
701510,glasses for corrective spectacles not opticall,70
701610,gls cubesoth gls smallwares backed or not for,70
701710,laboratoryhygienic or pharmaceutical glsware e,70
701790,laboratory hygienic or pharmaceutical glasswar,70
701820,glass microspheres not exceeding 1 mm in diamet,70
701910,slivers rovings yarn and chopped strands of g,70
701931,mats of glass fibres,70
701939,webs mattresses boards and similar nonwoven p,70
710110,pearls natural whether or not worked or graded,71
710122,pearls cultured worked,71
710221,diamonds industrial unworked or simply sawn cl,71
710231,diamonds nonindustrial unworked or simply sawn,71
710310,prec or semiprec stones ot diamonds unwkd o,71
710399,precious or semiprecious stones nes further wk,71
710420,syn or reconstr precsemiprec stones unwkd si,71
710510,diamond dust or powder,71
710610,silver powder,71
710692,silver in oth semimanufactured forms silver p,71
710811,gold powder nonmonetary,71
710813,gold in oth semimanufactured formsnonmonetar,71
710900,base metals or silver clad with gold not furt,71
711019,platinum in other semimanufactured forms,71
711029,palladium in other semimanufactured forms,71
711039,rhodium in other semimanufactured forms,71
711049,iridium osmium and ruthenium in other semiman,71
711210,wastescrap of goldincl mtl clad w goldexcl s,71
711290,wastescrap of precious metal or of metal clad,71
711319,art of jewellery and pts thereof ofo prec mtl,71
711411,art of gold or silversmithsparts of silver w,71
711420,articles of gold or silversmiths  parts of bas,71
711590,articles of precious metal or of metal clad wit,71
711620,art of precious or semiprecious stonesnatura,71
711719,imitation jewellery nes of base mtl whether or,71
711810,coin other than gold coin not being legal ten,71
720110,pig ironnonalloycontaining by wt05 of p,72
720130,pig iron alloy in primary forms,72
720211,ferromanganese containing by weight more than,72
720221,ferrosilicon containing by weight more than 5,72
720230,ferrosilicomanganese,72
720249,ferrochromium nes,72
720260,ferronickel,72
720280,ferrotungsten and ferrosilicotungsten,72
720292,ferrovanadium,72
720299,ferroalloys nes,72
720390,spongy ferrous products or iron having a minim,72
720421,waste and scrap stainless steel,72
720430,waste and scrap of tinned iron or steel,72
720449,ferrous waste and scrap iron or steel nes,72
720510,granules of pig iron or spiegeleisen,72
720529,powders iron or steel other than alloy,72
720690,primary forms iron or nonalloy steel nes of,72
720712,semifin prodiron or nal steelrect sq cross,72
720720,semifin prod iron or nonalloy steel w carb,72
720812,flat rlld prod inas in coil hr600mm w 4,72
720814,flat rolled prod inas in coil hr 600mm w,72
720822,flat rlld prod inas in coil hr600mm w 4,72
720824,flat rlld prod inas in coil hr600mm w l,72
720832,flat rolled prod inas nic hr 600mm wide,72
720834,flat rolled prod inasnichr600mm wide 3mm,72
720841,flat rolled prod inas nic hr 600mm,72
720843,flat rlld prod inas not in coil hr600mm w,72
720845,flat rolled prod inas not in coil hr 600m,72
720911,flat rolled prod inas in coil cr 600mm w,72
720913,flat rlld prodinasin coilcr600mm w05mm,72
720921,flat rolled prod inas in coil cr 600mm w,72
720923,flat rlld prod inas in coil cr600mm w 0,72
720931,flat rlld prod inas not in coil cr600mm w,72
720933,flat rlld prodinasnot in coilcr600mm w0,72
720941,flat rlld prod inas not in coil cr600mm w,72
720943,flat rolled prod inas not in coil cr 600m,72
720990,flat rolled prod inas not in coil cr 600m,72
721012,flat rlld prod inas plated or coated with ti,72
721031,flat rolled prodsteelelectro pltdw zinc3m,72
721041,flat rolled prod inas pltd or ctd w zinc co,72
721050,flat rlld prodinaspltd or ctd w chrom oxides,72
721070,flat rolled prodinaspaintedvarnishcoated,72
721111,flat rlld prodinashrrlld on 4 face150mm,72
721119,flat rlld prodinashr600mm wide 3mm thk my,72
721122,flat rolled prod inas hr 600mm wide 47,72
721130,flat rlld prodinascr600mm wide3mm thk myp,72
721149,flat rolled prod inas cold rolled or cold re,72
721210,flat rolled prod inas 600mm wide plated or,72
721229,flat rolled prod inas 600mm wide clad pla,72
721240,flat rolled prodinas600mm widepaintedvarn,72
721260,flat rolled prod inas 600mm wide clad,72
721320,bars  rods inas hr in irreg wound coils o,72
721339,bars  rods inas hr containing by weight le,72
721349,bars  rods inas hr containing by wght 025,72
721410,bars  rods iron or nonalloy steel forged,72
721430,barsrods inas hot rlld drawn or extruded of,72
721450,bars  rods inas hr hd or he cntg by wght,72
721510,barsrodsinasnfw than cold formed or finishe,72
721530,barsrodsinasnfw than cold formed or finishe,72
721590,bars  rods inas nes,72
721621,sectionslinasnfw than hot rllddrawnextrud,72
721631,sectionsuinasnfw than hot rllddrawnextrud,72
721633,sectionshinasnfw than hot rllddrawnextrud,72
721650,anglesshapes and sectinasnfw than hot rlld,72
721690,angles shapes and sections iron or nonalloy,72
721712,wireinasplated or coated with zinccontainin,72
721719,wire inas containing by weight less than 02,72
721722,wire inas plated or coated with zinc contnng,72
721729,wire iron or nonalloy steel nes containing b,72
721732,wireinasplated or coated with zinc containin,72
721739,wire iron or nonalloy steel nes containing b,72
721890,semifinished products stainless steel,72
721912,flat rlld prod stainless steel hr in coil,72
721914,flat rlld prod stainless steel hr in coil6,72
721922,flat rlld prod stainless steel hr nic 600m,72
721924,flat rlld prod stainless steel hr nic 600m,72
721932,flat rolled prod stainless steel cr 600mm w,72
721934,flat rolled prod stainless steel cr 600mm w,72
721990,flat rolled prod stainless steel 600mm or mor,72
722012,flat rolled prod stainless steel hr 600mm wi,72
722090,flat rolled prod stainless steel cr 600mm wi,72
722210,bars  rods stainless steel nfw than hot roll,72
722230,bars  rods stainless steel nes,72
722300,wire of stainless steel,72
722490,semifinished products of alloy steel ot stain,72
722520,flat rolled products of high speed steel 600m,72
722540,flat rolled prod as ot stainless nic nfw th,72
722590,flat rolled prod as ot stainless 600mm wi,72
722620,flat rolled prod of high speed steel 600mm w,72
722692,flat rolled prod as ot stainless nfw than c,72
722710,bars  rods of high speed steel hr in irregu,72
722790,barsrodsalloy steelot stainless hrin irreg,72
722820,bars and rods of silicomanganese steel nes,72
722840,bars  rods as ot stainless not further wor,72
722860,bars  rods as ot stainless nes,72
722880,bars  rods hollow drill alloy or nonalloy s,72
722920,wire of silicomanganese steel,72
730110,sheet pilingi or s whether or not drilledpunc,73
730210,rails iron or steel,73
730230,switch blades crossing frogs point rods  oth,73
730290,rail or tramway construction material of iron o,73
730410,pipes line iron or steel smls of a kind use,73
730431,tubespipehollow profilesi or nassmlscdcr,73
730441,tubespipehollow profilesstain steelsmlscd,73
730451,tubespipehollow profilesasot stain smls,73
730490,tubes pipe  hollow profiles iron or steel s,73
730512,pipelinei or slongitudinally wld w intext c,73
730520,casingsisintext circ c sectwld ext dia 40,73
730539,tubespipei or sweldedriveted or sim closed,73
730610,pipelinei or sweldedriveted or sim closedn,73
730630,tubespipehollow profilesiron or nasweldedo,73
730650,tubes pipe  hollow profilesalsot stain,73
730690,tubes pipe  hollow profiles iron or steel w,73
730719,fittings pipe or tube cast of iron or steel,73
730722,threaded elbows bends and sleeves of stainless,73
730729,fittings pipe or tube of stainless steel nes,73
730792,threaded elbows bend and sleeves iron or stee,73
730799,fittings pipe or tube iron or steel nes,73
730820,towers and lattice masts iron or steel,73
730840,equipment for scaffolding shuttering propping,73
730900,reservoirs tanks vats  sim ctnr cap 300l,73
731021,cansiron or steelcap50 litresto be closed b,73
731100,containers for compressed or liquefied gas of i,73
731290,plaited bands slings and the like of iron or s,73
731411,woven products stainless steel,73
731420,grillnettingfencingi or swelded intercross,73
731441,grill netting fencing iron or steel plated,73
731449,grill netting fencing iron or steel nes,73
731511,chain roller iron or steel,73
731519,chain parts articulated link iron or steel,73
731581,chain stud link iron or steel,73
731589,chain iron or steel nes,73
731600,anchors grapnels and parts thereof of iron or,73
731811,screws coach iron or steel,73
731813,screw hooks and screw rings of iron or steel,73
731815,bolts or screws nes with or without their nuts,73
731819,threaded articles of iron or steel nes,73
731822,washers iron or steel nes,73
731824,cotters and cotterpins iron or steel,73
731910,needles sewing darning or embroidery iron or,73
731930,pins iron or steel nes,73
732010,springs leaf and leaves therefor iron or stee,73
732090,springs iron or steel nes,73
732112,cooking appliances  plate warmers for liquid f,73
732181,household or camping appliancesisfor htg or,73
732183,household or camping appliancesisfor htg or,73
732211,radiators and parts thereof cast iron,73
732290,air heatershot air distributorsiron or steel,73
732391,tablekitchen or oth household artparts thereo,73
732393,table kitchen or oth household artparts there,73
732399,tablekitchen or oth household artparts thereo,73
732421,baths cast iron enamelled or not,73
732490,sanitary wareparts thereofi or snesfor exam,73
732591,balls grinding and similar articles of iron or,73
732611,ballsgrinding and similar art of i or sforge,73
732620,articles of wire iron or steel nes,73
740110,copper mattes,74
